"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.49,0.5,0.48,0.5025,0.512,0.52,0.485714285714286,0.51625,0.492222222222222,0.519,0.487
"2",0.5,0.51,0.476666666666667,0.51,0.48,0.491666666666667,0.487142857142857,0.475,0.513333333333333,0.49,0.492
"3",0.59,0.5,0.47,0.52,0.536,0.49,0.498571428571429,0.49875,0.483333333333333,0.48,0.512
"4",0.5,0.525,0.52,0.4725,0.458,0.476666666666667,0.494285714285714,0.485,0.522222222222222,0.505,0.492
"5",0.58,0.495,0.466666666666667,0.555,0.462,0.491666666666667,0.482857142857143,0.50625,0.472222222222222,0.509,0.5075
"6",0.44,0.515,0.526666666666667,0.5475,0.512,0.475,0.497142857142857,0.495,0.517777777777778,0.482,0.514
"7",0.52,0.555,0.526666666666667,0.495,0.484,0.476666666666667,0.55,0.4825,0.501111111111111,0.491,0.5015
"8",0.59,0.52,0.456666666666667,0.46,0.482,0.52,0.51,0.47125,0.522222222222222,0.526,0.512
"9",0.55,0.42,0.48,0.4975,0.482,0.503333333333333,0.472857142857143,0.51,0.498888888888889,0.502,0.488
"10",0.52,0.53,0.543333333333333,0.52,0.478,0.485,0.538571428571429,0.50625,0.495555555555556,0.501,0.53
"11",0.51,0.455,0.483333333333333,0.45,0.474,0.506666666666667,0.494285714285714,0.5,0.493333333333333,0.506,0.4875
"12",0.52,0.475,0.473333333333333,0.505,0.506,0.506666666666667,0.467142857142857,0.52,0.508888888888889,0.519,0.486
"13",0.62,0.465,0.476666666666667,0.5175,0.496,0.526666666666667,0.472857142857143,0.49625,0.511111111111111,0.49,0.468
"14",0.48,0.53,0.49,0.5025,0.496,0.486666666666667,0.524285714285714,0.49,0.494444444444444,0.499,0.491
"15",0.46,0.45,0.603333333333333,0.4875,0.532,0.486666666666667,0.512857142857143,0.4975,0.515555555555556,0.489,0.491
"16",0.45,0.475,0.47,0.49,0.498,0.511666666666667,0.511428571428571,0.50125,0.503333333333333,0.488,0.518
"17",0.51,0.495,0.483333333333333,0.5175,0.536,0.5,0.514285714285714,0.49625,0.493333333333333,0.498,0.5005
"18",0.53,0.545,0.526666666666667,0.54,0.514,0.508333333333333,0.514285714285714,0.51375,0.484444444444444,0.471,0.512
"19",0.56,0.535,0.45,0.495,0.518,0.485,0.515714285714286,0.5075,0.49,0.496,0.5
"20",0.47,0.505,0.473333333333333,0.5175,0.492,0.488333333333333,0.477142857142857,0.49375,0.506666666666667,0.488,0.509
"21",0.64,0.49,0.51,0.49,0.514,0.47,0.508571428571429,0.50125,0.527777777777778,0.49,0.5135
"22",0.49,0.475,0.49,0.5425,0.508,0.495,0.531428571428571,0.5225,0.505555555555556,0.504,0.507
"23",0.45,0.47,0.466666666666667,0.5375,0.486,0.516666666666667,0.548571428571429,0.5,0.485555555555556,0.482,0.5065
"24",0.49,0.56,0.51,0.4925,0.532,0.506666666666667,0.474285714285714,0.50375,0.494444444444444,0.481,0.522
"25",0.43,0.465,0.49,0.4825,0.502,0.483333333333333,0.504285714285714,0.4875,0.496666666666667,0.512,0.4975
"26",0.51,0.485,0.493333333333333,0.48,0.512,0.486666666666667,0.48,0.50875,0.505555555555556,0.493,0.4845
"27",0.46,0.505,0.506666666666667,0.485,0.51,0.52,0.522857142857143,0.465,0.513333333333333,0.495,0.5075
"28",0.48,0.455,0.5,0.485,0.516,0.478333333333333,0.491428571428571,0.52,0.487777777777778,0.474,0.502
"29",0.48,0.505,0.5,0.46,0.504,0.505,0.49,0.4975,0.513333333333333,0.493,0.5095
"30",0.55,0.48,0.493333333333333,0.5075,0.5,0.511666666666667,0.52,0.5025,0.506666666666667,0.493,0.5125
"31",0.47,0.485,0.506666666666667,0.525,0.508,0.503333333333333,0.494285714285714,0.49375,0.457777777777778,0.468,0.488
"32",0.57,0.505,0.5,0.4825,0.486,0.52,0.521428571428571,0.51625,0.498888888888889,0.484,0.5015
"33",0.47,0.495,0.473333333333333,0.485,0.494,0.473333333333333,0.478571428571429,0.4875,0.49,0.479,0.498
"34",0.51,0.515,0.516666666666667,0.48,0.48,0.49,0.508571428571429,0.53125,0.501111111111111,0.518,0.48
"35",0.52,0.495,0.456666666666667,0.525,0.49,0.525,0.47,0.52,0.493333333333333,0.509,0.485
"36",0.54,0.53,0.533333333333333,0.54,0.516,0.511666666666667,0.491428571428571,0.49625,0.486666666666667,0.495,0.4845
"37",0.61,0.61,0.523333333333333,0.4775,0.47,0.496666666666667,0.53,0.49375,0.467777777777778,0.503,0.485
"38",0.51,0.505,0.51,0.5075,0.522,0.501666666666667,0.522857142857143,0.4975,0.511111111111111,0.479,0.489
"39",0.44,0.535,0.53,0.5025,0.488,0.523333333333333,0.531428571428571,0.49875,0.524444444444444,0.548,0.4985
"40",0.48,0.525,0.516666666666667,0.4725,0.488,0.508333333333333,0.505714285714286,0.47875,0.521111111111111,0.505,0.4955
"41",0.53,0.49,0.476666666666667,0.4775,0.458,0.516666666666667,0.485714285714286,0.4975,0.496666666666667,0.493,0.5185
"42",0.49,0.505,0.47,0.4975,0.496,0.491666666666667,0.495714285714286,0.49125,0.493333333333333,0.52,0.5095
"43",0.51,0.475,0.536666666666667,0.51,0.552,0.49,0.501428571428571,0.525,0.486666666666667,0.487,0.505
"44",0.55,0.495,0.46,0.415,0.524,0.518333333333333,0.47,0.48375,0.504444444444444,0.538,0.492
"45",0.45,0.51,0.506666666666667,0.465,0.494,0.49,0.524285714285714,0.48625,0.502222222222222,0.521,0.5015
"46",0.45,0.49,0.463333333333333,0.5125,0.528,0.501666666666667,0.524285714285714,0.49875,0.516666666666667,0.53,0.4915
"47",0.45,0.57,0.46,0.515,0.506,0.503333333333333,0.515714285714286,0.4725,0.498888888888889,0.523,0.4885
"48",0.51,0.56,0.523333333333333,0.49,0.48,0.496666666666667,0.492857142857143,0.51375,0.505555555555556,0.519,0.483
"49",0.54,0.475,0.493333333333333,0.52,0.484,0.526666666666667,0.487142857142857,0.49875,0.552222222222222,0.52,0.511
"50",0.58,0.485,0.51,0.485,0.544,0.495,0.511428571428571,0.5125,0.498888888888889,0.495,0.506
"51",0.53,0.45,0.5,0.5025,0.498,0.508333333333333,0.492857142857143,0.495,0.482222222222222,0.486,0.488
"52",0.49,0.54,0.506666666666667,0.505,0.512,0.481666666666667,0.51,0.50125,0.49,0.506,0.518
"53",0.41,0.505,0.493333333333333,0.45,0.506,0.478333333333333,0.514285714285714,0.51875,0.49,0.516,0.5225
"54",0.61,0.545,0.5,0.55,0.522,0.503333333333333,0.532857142857143,0.51875,0.504444444444444,0.476,0.5105
"55",0.58,0.5,0.483333333333333,0.4525,0.486,0.521666666666667,0.501428571428571,0.5025,0.488888888888889,0.534,0.5045
"56",0.46,0.51,0.476666666666667,0.525,0.526,0.496666666666667,0.495714285714286,0.49625,0.478888888888889,0.535,0.497
"57",0.47,0.525,0.503333333333333,0.5,0.512,0.485,0.514285714285714,0.5,0.513333333333333,0.512,0.5065
"58",0.5,0.475,0.54,0.4675,0.496,0.506666666666667,0.521428571428571,0.5,0.507777777777778,0.534,0.509
"59",0.39,0.47,0.463333333333333,0.48,0.478,0.493333333333333,0.481428571428571,0.5175,0.503333333333333,0.495,0.4865
"60",0.5,0.53,0.48,0.445,0.492,0.498333333333333,0.488571428571429,0.51,0.471111111111111,0.501,0.5025
"61",0.53,0.52,0.54,0.5025,0.5,0.51,0.482857142857143,0.4825,0.493333333333333,0.5,0.477
"62",0.54,0.48,0.5,0.505,0.502,0.515,0.498571428571429,0.5125,0.484444444444444,0.491,0.522
"63",0.47,0.505,0.44,0.5325,0.528,0.501666666666667,0.51,0.5075,0.504444444444444,0.476,0.501
"64",0.47,0.53,0.5,0.495,0.518,0.525,0.554285714285714,0.475,0.49,0.499,0.496
"65",0.56,0.505,0.506666666666667,0.5,0.482,0.488333333333333,0.478571428571429,0.5125,0.506666666666667,0.49,0.503
"66",0.42,0.555,0.463333333333333,0.4625,0.51,0.466666666666667,0.497142857142857,0.4875,0.527777777777778,0.516,0.517
"67",0.5,0.48,0.546666666666667,0.5,0.476,0.528333333333333,0.492857142857143,0.4925,0.488888888888889,0.507,0.5115
"68",0.51,0.495,0.526666666666667,0.5,0.482,0.503333333333333,0.49,0.50625,0.514444444444444,0.493,0.493
"69",0.49,0.535,0.486666666666667,0.5125,0.514,0.476666666666667,0.514285714285714,0.5425,0.513333333333333,0.519,0.4995
"70",0.51,0.515,0.51,0.4875,0.506,0.525,0.475714285714286,0.51125,0.496666666666667,0.503,0.503
"71",0.51,0.58,0.543333333333333,0.5175,0.492,0.488333333333333,0.517142857142857,0.48125,0.503333333333333,0.517,0.5095
"72",0.54,0.53,0.506666666666667,0.455,0.508,0.496666666666667,0.525714285714286,0.49125,0.508888888888889,0.493,0.492
"73",0.49,0.45,0.486666666666667,0.5275,0.492,0.503333333333333,0.474285714285714,0.52375,0.506666666666667,0.509,0.489
"74",0.51,0.52,0.493333333333333,0.51,0.538,0.506666666666667,0.498571428571429,0.49875,0.497777777777778,0.5,0.509
"75",0.54,0.48,0.466666666666667,0.5225,0.518,0.485,0.504285714285714,0.4775,0.498888888888889,0.488,0.4745
"76",0.5,0.445,0.486666666666667,0.52,0.494,0.54,0.501428571428571,0.51,0.487777777777778,0.489,0.499
"77",0.56,0.52,0.476666666666667,0.52,0.51,0.515,0.507142857142857,0.5175,0.468888888888889,0.472,0.51
"78",0.56,0.545,0.513333333333333,0.525,0.516,0.513333333333333,0.498571428571429,0.51875,0.491111111111111,0.494,0.5085
"79",0.53,0.495,0.443333333333333,0.4825,0.5,0.476666666666667,0.485714285714286,0.51625,0.481111111111111,0.509,0.5145
"80",0.56,0.525,0.52,0.52,0.476,0.52,0.501428571428571,0.52125,0.466666666666667,0.517,0.4905
"81",0.47,0.545,0.54,0.5325,0.492,0.511666666666667,0.52,0.5025,0.507777777777778,0.505,0.4965
"82",0.47,0.565,0.553333333333333,0.4675,0.496,0.506666666666667,0.51,0.515,0.486666666666667,0.486,0.487
"83",0.41,0.47,0.5,0.5325,0.47,0.478333333333333,0.515714285714286,0.52375,0.531111111111111,0.508,0.51
"84",0.47,0.51,0.48,0.495,0.492,0.478333333333333,0.505714285714286,0.525,0.51,0.511,0.5105
"85",0.45,0.48,0.493333333333333,0.5,0.538,0.461666666666667,0.495714285714286,0.4775,0.491111111111111,0.481,0.501
"86",0.54,0.445,0.446666666666667,0.4675,0.482,0.498333333333333,0.482857142857143,0.52125,0.482222222222222,0.509,0.4995
"87",0.48,0.48,0.466666666666667,0.4775,0.496,0.523333333333333,0.517142857142857,0.47375,0.502222222222222,0.519,0.502
"88",0.47,0.52,0.45,0.525,0.48,0.505,0.491428571428571,0.47875,0.508888888888889,0.519,0.505
"89",0.47,0.455,0.53,0.495,0.492,0.525,0.497142857142857,0.505,0.517777777777778,0.486,0.4895
"90",0.55,0.525,0.48,0.465,0.52,0.493333333333333,0.492857142857143,0.51125,0.478888888888889,0.533,0.497
"91",0.48,0.52,0.503333333333333,0.4825,0.504,0.508333333333333,0.501428571428571,0.48875,0.521111111111111,0.479,0.477
"92",0.45,0.49,0.493333333333333,0.465,0.5,0.51,0.517142857142857,0.5125,0.513333333333333,0.473,0.489
"93",0.42,0.495,0.516666666666667,0.4475,0.492,0.485,0.521428571428571,0.48875,0.493333333333333,0.481,0.501
"94",0.53,0.58,0.513333333333333,0.54,0.522,0.513333333333333,0.488571428571429,0.47875,0.506666666666667,0.471,0.4925
"95",0.42,0.505,0.493333333333333,0.4525,0.484,0.518333333333333,0.534285714285714,0.48625,0.508888888888889,0.504,0.4975
"96",0.51,0.475,0.5,0.5275,0.472,0.51,0.497142857142857,0.4825,0.508888888888889,0.524,0.4915
"97",0.52,0.57,0.583333333333333,0.4775,0.492,0.501666666666667,0.51,0.5325,0.503333333333333,0.515,0.507
"98",0.47,0.495,0.526666666666667,0.5075,0.53,0.541666666666667,0.507142857142857,0.505,0.5,0.517,0.499
"99",0.46,0.51,0.553333333333333,0.495,0.49,0.52,0.502857142857143,0.50375,0.494444444444444,0.474,0.479
"100",0.51,0.485,0.473333333333333,0.52,0.504,0.5,0.522857142857143,0.53125,0.477777777777778,0.515,0.5095
"101",0.6,0.49,0.486666666666667,0.48,0.538,0.511666666666667,0.514285714285714,0.5075,0.49,0.5,0.502
"102",0.51,0.45,0.52,0.525,0.518,0.503333333333333,0.541428571428571,0.4825,0.511111111111111,0.469,0.512
"103",0.6,0.465,0.536666666666667,0.5,0.522,0.508333333333333,0.5,0.51625,0.496666666666667,0.49,0.503
